fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2022-08-02,8293X,XÀTIVA,VALENCIA,88,"31,6","0,0","22,5",05:40,"40,8",16:00,35,"3,6","10,0",17:10,"12,9","1006,0",00,"1001,2",17
2022-08-03,8293X,XÀTIVA,VALENCIA,88,"32,6","0,0","22,2",05:00,"42,9",15:10,14,"2,5","10,3",15:00,"13,2","1004,4",00,"999,6",Varias
2022-08-04,8293X,XÀTIVA,VALENCIA,88,"32,0","0,0","23,1",05:40,"40,9",14:20,12,"2,8","9,2",17:10,"12,5","1004,9",23,"1000,2",17
2022-08-05,8293X,XÀTIVA,VALENCIA,88,"30,8","0,0","23,5",05:00,"38,1",13:30,08,"3,1","8,3",14:30,"13,1","1006,9",23,"1002,2",17
2022-08-06,8293X,XÀTIVA,VALENCIA,88,"30,2","0,0","22,6",05:40,"37,9",16:40,03,"3,1","9,2",14:30,"12,7","1007,0",08,"1002,9",17
2022-08-07,8293X,XÀTIVA,VALENCIA,88,"30,7","0,0","22,0",05:50,"39,4",13:00,06,"2,5","8,9",Varias,"12,9","1005,9",00,"1000,5",17
2022-08-08,8293X,XÀTIVA,VALENCIA,88,"31,4","0,0","24,0",06:00,"38,8",13:30,07,"2,5","9,4",14:40,"12,6","1006,4",24,"1002,1",17
2022-08-09,8293X,XÀTIVA,VALENCIA,88,"30,8","0,0","24,3",05:50,"37,3",13:10,05,"3,1","10,0",14:20,"11,9","1007,5",09,"1004,2",18
2022-08-10,8293X,XÀTIVA,VALENCIA,88,"30,7","0,0","23,4",04:20,"38,0",14:50,10,"2,5","9,7",15:20,"11,6","1007,3",Varias,"1002,9",Varias
2022-08-11,8293X,XÀTIVA,VALENCIA,88,"30,0","0,0","22,3",05:50,"37,8",14:20,33,"3,3","8,6",12:30,"12,1","1005,8",08,"1002,5",17
2022-08-12,8293X,XÀTIVA,VALENCIA,88,"33,0","0,0","20,8",05:40,"45,1",15:10,22,"2,5","14,2",19:00,"11,0","1005,7",00,"998,5",17
2022-08-13,8293X,XÀTIVA,VALENCIA,88,"32,0","0,0","25,3",21:50,"38,8",15:00,29,"4,2","23,3",01:10,"2,2","1005,7",19,"999,2",05
2022-08-14,8293X,XÀTIVA,VALENCIA,88,"32,7","0,0","23,1",06:00,"42,3",16:30,29,"2,2","9,7",17:10,"11,0","1001,4",00,"993,9",18
2022-08-15,8293X,XÀTIVA,VALENCIA,88,"30,2","0,0","21,1",05:30,"39,2",13:40,11,"2,8","10,0",16:20,"12,1","998,3",Varias,"994,8",Varias
2022-08-16,8293X,XÀTIVA,VALENCIA,88,"31,1","0,0","22,0",06:00,"40,2",14:40,20,"3,1","10,8",13:30,"11,9","998,2",07,"993,7",17
2022-08-17,8293X,XÀTIVA,VALENCIA,88,"28,6","1,6","20,2",23:50,"37,0",14:00,15,"2,2","13,6",19:00,"10,4","1001,8",24,"996,2",15
2022-08-18,8293X,XÀTIVA,VALENCIA,88,"26,2","0,0","17,9",06:00,"34,5",12:50,02,"3,1","10,6",13:10,"12,1","1007,3",24,"1001,2",03
2022-08-19,8293X,XÀTIVA,VALENCIA,88,"27,3","0,0","18,9",06:00,"35,7",13:50,13,"3,3","9,7",14:40,"12,1","1008,7",08,"1004,9",16
2022-08-20,8293X,XÀTIVA,VALENCIA,88,"29,9","0,0","21,9",04:30,"37,9",15:10,36,"1,9","7,5",14:20,"9,4","1009,3",09,"1003,8",18
2022-08-21,8293X,XÀTIVA,VALENCIA,88,"30,3","0,0","20,9",06:00,"39,7",13:20,36,"2,2","8,1",18:10,"11,8","1006,3",00,"1000,2",16
